,T_ext,Sol_rad,T_Wall_Ins,T_Ins_Ins,T_Ins_Coat,T_int
2018-03-23 17:40:00,14.638366013999999,33.112249814,24.330907313,21.09384851,17.879530894,25.573558321
2018-03-23 17:45:00,14.609495002,44.413961586,24.337424462,20.998212512000002,17.536974956,25.576962355
2018-03-23 17:50:00,14.797922212,60.01761526200001,24.337752460000004,20.893163647999998,17.336845811,25.584714278
2018-03-23 17:55:00,15.015581496,61.439443516000004,24.363733875,20.805541423,17.307049542999998,25.5821459725
2018-03-23 18:00:00,14.884768095999998,59.94470099600001,24.336996274500002,20.68545137,17.2609418995,25.5864398265
2018-03-23 18:05:00,14.924496637999999,49.809617532,24.359520464,20.625356216,17.214748923,25.589221453
2018-03-23 18:10:00,14.864060382,42.445276312,24.334868625,20.52096985,17.031725856,25.591301736
2018-03-23 18:15:00,14.866300924,42.007790692,24.359539496,20.463421134999997,16.90075328,25.590025376
2018-03-23 18:20:00,14.900784490000001,48.788817758,24.331589724,20.376351546,16.800560951,25.585423738
2018-03-23 18:25:00,14.811269348,44.158761643000005,24.303291715999997,20.283394717,16.680209593,25.592042553
2018-03-23 18:30:00,14.502129728,34.570535206,24.335712332,20.236633634999997,16.482067788000002,25.595997361000002
2018-03-23 18:35:00,14.33676017,48.424246412,24.350345296,20.196844935999998,16.154268884,25.598770031
2018-03-23 18:40:00,14.092399674000001,14.008711207,24.37414786,20.153601299,15.798346518999999,25.601322197000002
2018-03-23 18:45:00,13.84883366,5.5299892766,24.347505720999997,20.068504979,15.381282699,25.603403006
2018-03-23 18:50:00,13.676559904000001,3.4987230638,24.369339224,20.013409283,15.032002397,25.606349319000003
2018-03-23 18:55:00,13.466017374,4.2491133616,24.352980881,19.930434698,14.688911289,25.605844615000002
2018-03-23 19:00:00,13.299117108999999,0.0,24.356226433,19.864808703999998,14.3751317605,25.608074133499997
2018-03-23 19:05:00,13.13760287,0.0,24.311499166,19.758322713,14.041563400999998,25.610044173
2018-03-23 19:10:00,12.976938827999998,0.0,24.360908779,19.696682356,13.723857034999998,25.6115887435
2018-03-23 19:15:00,12.807014752,0.0,24.312615293,19.565214802,13.388668883000001,25.610210402
2018-03-23 19:20:00,12.602640068,0.0,24.295509789,19.452157685,13.082520316,25.612322419999998
2018-03-23 19:25:00,12.493051324,0.0,24.324593195,19.375422356,12.846650338,25.620074993
2018-03-23 19:30:00,12.424550445,1.2079616456,24.330853452,19.278980186,12.64759145,25.626471941
2018-03-23 19:35:00,12.310663569999999,0.0,24.297294491000002,19.172165842,12.462489811000001,25.624691881000004
2018-03-23 19:40:00,12.195427014,0.0310000002,24.312599813,19.078485497,12.291931284,25.626945164
2018-03-23 19:45:00,12.150858174,0.0,24.317483541,18.992133227,12.165020613,25.629104171
2018-03-23 19:50:00,11.998444572,0.0,24.32050551,18.926598585999997,12.065948891,25.632207872000002
2018-03-23 19:55:00,12.014771128,0.0,24.300273787,18.830104722999998,11.978713591,25.636210191000004
2018-03-23 20:00:00,11.922810511,0.0,24.306295628500003,18.7707778905,11.916486634,25.639983970499998
2018-03-23 20:05:00,11.882319444,0.0,24.356638992,18.737290000999998,11.887006699,25.631213455
2018-03-23 20:10:00,11.787293188000001,0.0206666668,24.440039595000002,18.755751877,11.899918051,25.563274829
2018-03-23 20:15:00,11.736277509999999,0.0103333334,24.426630149,18.702242653,11.836426246000002,25.489919078
2018-03-23 20:20:00,11.657026792,0.4684856172,24.321815118,18.555578510000004,11.677235435,25.503205123
2018-03-23 20:25:00,11.613730826,0.0,24.308197587,18.488111738,11.577193253,25.543468311999998
