,Index (GIE-CPT-ELE-CVC-TDA2.4-GIENAH)
2022-07-17 19:30:00+00:00,1036814.570321977
2022-07-17 20:00:00+00:00,2345656.0014040726
2022-07-17 20:30:00+00:00,186627.5841546095
2022-07-17 21:00:00+00:00,0.0
2022-07-17 21:30:00+00:00,0.0
2022-07-17 22:00:00+00:00,-8.077625308063007e-06
2022-07-17 22:30:00+00:00,79182.85862715203
2022-07-17 23:00:00+00:00,2112302.4744310738
2022-07-17 23:30:00+00:00,1317651.2202737527
2022-07-18 00:00:00+00:00,-2.473417330871929e-06
2022-07-18 00:30:00+00:00,-6.7772655324502414e-06
2022-07-18 01:00:00+00:00,9.863092014804864e-06
2022-07-18 01:30:00+00:00,-1.5679497737437485e-05
2022-07-18 02:00:00+00:00,11723.676804805242
2022-07-18 02:30:00+00:00,1084055.2034043288
2022-07-18 03:00:00+00:00,1361276.5239089585
2022-07-18 03:30:00+00:00,1250686.1861573914
2022-07-18 04:00:00+00:00,8823353.610950027
2022-07-18 04:30:00+00:00,8465323.594081245
2022-07-18 05:00:00+00:00,9096733.108615179
2022-07-18 05:30:00+00:00,6098381.653497555
2022-07-18 06:00:00+00:00,6334129.023615545
2022-07-18 06:30:00+00:00,5505884.108913012
2022-07-18 07:00:00+00:00,7359810.659137225
2022-07-18 07:30:00+00:00,6542340.530249884
2022-07-18 08:00:00+00:00,6436941.222142405
2022-07-18 08:30:00+00:00,5667165.783584026
2022-07-18 09:00:00+00:00,9608289.630886743
2022-07-18 09:30:00+00:00,9786857.992033463
2022-07-18 10:00:00+00:00,7069337.196104009
2022-07-18 10:30:00+00:00,7846233.535056396
2022-07-18 11:00:00+00:00,9402616.550106527
2022-07-18 11:30:00+00:00,3492874.1699806913
2022-07-18 12:00:00+00:00,11442472.892229749
2022-07-18 12:30:00+00:00,8275072.606836276
2022-07-18 13:00:00+00:00,12325368.726485204
2022-07-18 13:30:00+00:00,10394984.605368935
2022-07-18 14:00:00+00:00,10385425.204082994
2022-07-18 14:30:00+00:00,14518663.446212726
2022-07-18 15:00:00+00:00,11786105.274323484
2022-07-18 15:30:00+00:00,3613312.2028671107
2022-07-18 16:00:00+00:00,8053671.444625808
2022-07-18 16:30:00+00:00,4451565.541298682
2022-07-18 17:00:00+00:00,7335891.510743044
2022-07-18 17:30:00+00:00,7198328.403753951
2022-07-18 18:00:00+00:00,5933452.310290903
2022-07-18 18:30:00+00:00,4115899.8348306287
2022-07-18 19:00:00+00:00,4900780.793411707
2022-07-18 19:30:00+00:00,4161935.8906030147
2022-07-18 20:00:00+00:00,5440530.306507181
2022-07-18 20:30:00+00:00,6319939.261075903
2022-07-18 21:00:00+00:00,4547089.5392322885
2022-07-18 21:30:00+00:00,4378764.662257141
2022-07-18 22:00:00+00:00,4894412.372247284
2022-07-18 22:30:00+00:00,3736148.7384671527
2022-07-18 23:00:00+00:00,4872145.136293725
2022-07-18 23:30:00+00:00,3648869.682208301
2022-07-19 00:00:00+00:00,2267761.0636459985
2022-07-19 00:30:00+00:00,4534301.035699993
2022-07-19 01:00:00+00:00,2966236.0598786375
2022-07-19 01:30:00+00:00,2689270.8639540225
2022-07-19 02:00:00+00:00,3651832.327886688
2022-07-19 02:30:00+00:00,2418835.8932583104
2022-07-19 03:00:00+00:00,4099060.0956438286
2022-07-19 03:30:00+00:00,2136541.9697218295
2022-07-19 04:00:00+00:00,4490172.640412827
2022-07-19 04:30:00+00:00,7170116.733444999
2022-07-19 05:00:00+00:00,3233027.5688953297
2022-07-19 05:30:00+00:00,1983585.1595016017
2022-07-19 06:00:00+00:00,3920591.782040569
2022-07-19 06:30:00+00:00,2277409.128604651
2022-07-19 07:00:00+00:00,4527485.005790816
2022-07-19 07:30:00+00:00,5411276.198626525
2022-07-19 08:00:00+00:00,2686349.9745641625
2022-07-19 08:30:00+00:00,3612407.207281369
2022-07-19 09:00:00+00:00,4397852.118337239
2022-07-19 09:30:00+00:00,4940286.866131579
2022-07-19 10:00:00+00:00,4929722.379686192
2022-07-19 10:30:00+00:00,5665531.382869864
2022-07-19 11:00:00+00:00,5300683.61271229
2022-07-19 11:30:00+00:00,4327686.632816943
2022-07-19 12:00:00+00:00,5307015.239391422
2022-07-19 12:30:00+00:00,5459866.915456805
2022-07-19 13:00:00+00:00,7366604.989001698
2022-07-19 13:30:00+00:00,5782089.45989836
2022-07-19 14:00:00+00:00,4610184.476308127
2022-07-19 14:30:00+00:00,8140763.255258084
2022-07-19 15:00:00+00:00,4977445.4529741835
2022-07-19 15:30:00+00:00,4699791.054765095
2022-07-19 16:00:00+00:00,5260516.250962139
2022-07-19 16:30:00+00:00,2362797.054806494
2022-07-19 17:00:00+00:00,4796315.7277926
2022-07-19 17:30:00+00:00,3610193.7915178803
2022-07-19 18:00:00+00:00,2067463.7123054103
2022-07-19 18:30:00+00:00,3632241.8987446586
2022-07-19 19:00:00+00:00,2334035.3486101045
2022-07-19 19:30:00+00:00,1898613.448988633
2022-07-19 20:00:00+00:00,3534864.6914477865
2022-07-19 20:30:00+00:00,2079082.4368923106
2022-07-19 21:00:00+00:00,3437043.773241398
2022-07-19 21:30:00+00:00,4633953.826660471
2022-07-19 22:00:00+00:00,2052759.7065320646
2022-07-19 22:30:00+00:00,650950.9793237351
2022-07-19 23:00:00+00:00,3754694.131963604
2022-07-19 23:30:00+00:00,2558087.137969045
2022-07-20 00:00:00+00:00,2198201.8664193954
2022-07-20 00:30:00+00:00,212018.33186785213
2022-07-20 01:00:00+00:00,3415212.415566318
2022-07-20 01:30:00+00:00,2336054.8915462913
2022-07-20 02:00:00+00:00,1288057.9539761352
2022-07-20 02:30:00+00:00,3886939.3514443883
2022-07-20 03:00:00+00:00,1851914.9580941596
2022-07-20 03:30:00+00:00,1656284.4387574452
2022-07-20 04:00:00+00:00,4412207.768517543
2022-07-20 04:30:00+00:00,2721036.6110474262
2022-07-20 05:00:00+00:00,755154.1015617551
2022-07-20 05:30:00+00:00,2526315.458617866
2022-07-20 06:00:00+00:00,3375046.700368023
2022-07-20 06:30:00+00:00,2625108.571628931
2022-07-20 07:00:00+00:00,4178859.462580387
2022-07-20 07:30:00+00:00,2582730.4253170383
2022-07-20 08:00:00+00:00,2253664.9096168634
2022-07-20 08:30:00+00:00,2248681.8023157986
2022-07-20 09:00:00+00:00,2828677.7888191775
2022-07-20 09:30:00+00:00,2020858.107668334
2022-07-20 10:00:00+00:00,2421770.260880017
2022-07-20 10:30:00+00:00,3913697.289163585
2022-07-20 11:00:00+00:00,4772006.372381722
2022-07-20 11:30:00+00:00,2523601.766813546
2022-07-20 12:00:00+00:00,3632303.6352897445
2022-07-20 12:30:00+00:00,5992827.508166579
2022-07-20 13:00:00+00:00,3606935.788071084
2022-07-20 13:30:00+00:00,2966438.6617713193
2022-07-20 14:00:00+00:00,4073817.754542484
2022-07-20 14:30:00+00:00,4227199.015826664
2022-07-20 15:00:00+00:00,5017933.777276262
2022-07-20 15:30:00+00:00,4369936.376780635
2022-07-20 16:00:00+00:00,1694784.4032867881
2022-07-20 16:30:00+00:00,12.233932166986472
2022-07-20 17:00:00+00:00,2.7224564781555763e-06
2022-07-20 17:30:00+00:00,-1.070265295905071e-05
2022-07-20 18:00:00+00:00,-5.18572862659182e-06
2022-07-20 18:30:00+00:00,1.3759791496254148e-05
2022-07-20 19:00:00+00:00,11883.528132590884
2022-07-20 19:30:00+00:00,1599526.643855967
2022-07-20 20:00:00+00:00,1364489.095884327
2022-07-20 20:30:00+00:00,1.550536851088206e-05
2022-07-20 21:00:00+00:00,-5.52820548033103e-06
2022-07-20 21:30:00+00:00,7.908140237514788e-06
2022-07-20 22:00:00+00:00,-1.4066024795993345e-05
2022-07-20 22:30:00+00:00,2.3868866019196563e-05
2022-07-20 23:00:00+00:00,7.753558456897735e-06
2022-07-20 23:30:00+00:00,489326.1614399607
2022-07-21 00:00:00+00:00,2131540.305925411
2022-07-21 00:30:00+00:00,47989.48082339228
2022-07-21 01:00:00+00:00,5.309221645196277e-07
2022-07-21 01:30:00+00:00,1.3357543696959813e-05
2022-07-21 02:00:00+00:00,8.320492047529955e-06
2022-07-21 02:30:00+00:00,-8.745030523874818e-06
2022-07-21 03:00:00+00:00,-5.7001497405461765e-06
2022-07-21 03:30:00+00:00,1638944.5713469156
2022-07-21 04:00:00+00:00,3613540.897572156
2022-07-21 04:30:00+00:00,855508.5832302824
2022-07-21 05:00:00+00:00,1931711.0977922392
2022-07-21 05:30:00+00:00,4370497.870326419
2022-07-21 06:00:00+00:00,4520473.028848762
2022-07-21 06:30:00+00:00,2158288.4902389417
2022-07-21 07:00:00+00:00,2980709.7800143473
2022-07-21 07:30:00+00:00,2876853.6768325944
2022-07-21 08:00:00+00:00,2478720.882492262
2022-07-21 08:30:00+00:00,4295185.13968616
2022-07-21 09:00:00+00:00,3147507.0572971506
2022-07-21 09:30:00+00:00,2856194.8200872354
2022-07-21 10:00:00+00:00,3501250.813901391
2022-07-21 10:30:00+00:00,2326611.990834694
2022-07-21 11:00:00+00:00,7140808.777353341
2022-07-21 11:30:00+00:00,2053961.1230080558
2022-07-21 12:00:00+00:00,3047551.0874345833
2022-07-21 12:30:00+00:00,2668773.50411676
2022-07-21 13:00:00+00:00,4898152.409822824
2022-07-21 13:30:00+00:00,2760687.9298723848
2022-07-21 14:00:00+00:00,3473103.6079840963
2022-07-21 14:30:00+00:00,4036239.030240422
2022-07-21 15:00:00+00:00,7806242.712230321
2022-07-21 15:30:00+00:00,5799264.367202304
2022-07-21 16:00:00+00:00,2075528.5871754803
2022-07-21 16:30:00+00:00,8.585398013775165e-06
2022-07-21 17:00:00+00:00,-1.961588327373777e-06
2022-07-21 17:30:00+00:00,-5.545302543229674e-06
2022-07-21 18:00:00+00:00,8.357810859496777e-06
2022-07-21 18:30:00+00:00,525460.9371713733
2022-07-21 19:00:00+00:00,2283212.9340269025
2022-07-21 19:30:00+00:00,256285.93436085022
2022-07-21 20:00:00+00:00,0.0
2022-07-21 20:30:00+00:00,0.0
2022-07-21 21:00:00+00:00,-5.920715056932889e-06
2022-07-21 21:30:00+00:00,-2.286126734791221e-07
2022-07-21 22:00:00+00:00,-7.009419527920808e-06
2022-07-21 22:30:00+00:00,22973.45851392103
2022-07-21 23:00:00+00:00,1611481.6455713706
2022-07-21 23:30:00+00:00,1437592.1432850151
2022-07-22 00:00:00+00:00,10204.865930067263
2022-07-22 00:30:00+00:00,2.0904724923973408e-05
2022-07-22 01:00:00+00:00,-1.104376966563555e-05
2022-07-22 01:30:00+00:00,-1.2854089776238243e-05
2022-07-22 02:00:00+00:00,9.993959095451856e-06
2022-07-22 02:30:00+00:00,-1.2708768248558044e-05
2022-07-22 03:00:00+00:00,1635379.8865887925
2022-07-22 03:30:00+00:00,2263382.9891281077
2022-07-22 04:00:00+00:00,2953475.463966865
2022-07-22 04:30:00+00:00,3326007.2087147096
2022-07-22 05:00:00+00:00,2558484.2872878416
2022-07-22 05:30:00+00:00,2006986.5051128129
2022-07-22 06:00:00+00:00,2403717.1636977782
2022-07-22 06:30:00+00:00,2050980.6716558626
2022-07-22 07:00:00+00:00,3523392.6740977713
2022-07-22 07:30:00+00:00,3729348.8444061903
2022-07-22 08:00:00+00:00,4519204.610158117
2022-07-22 08:30:00+00:00,3497615.0204392234
2022-07-22 09:00:00+00:00,2515505.5335677755
2022-07-22 09:30:00+00:00,3384941.2979395846
2022-07-22 10:00:00+00:00,3638138.580062883
2022-07-22 10:30:00+00:00,4121719.0479753963
2022-07-22 11:00:00+00:00,5632400.497123735
2022-07-22 11:30:00+00:00,2299057.484988123
2022-07-22 12:00:00+00:00,3829877.065036899
2022-07-22 12:30:00+00:00,2046666.253892049
2022-07-22 13:00:00+00:00,4035182.7154192855
2022-07-22 13:30:00+00:00,3888628.5243304516
2022-07-22 14:00:00+00:00,3469968.9728712817
2022-07-22 14:30:00+00:00,843462.259494574
2022-07-22 15:00:00+00:00,4056249.662997349
2022-07-22 15:30:00+00:00,2063022.6780232573
2022-07-22 16:00:00+00:00,1884608.1861414232
2022-07-22 16:30:00+00:00,100639.91806179809
2022-07-22 17:00:00+00:00,-1.4187222612755639e-05
2022-07-22 17:30:00+00:00,1.101332902908325e-05
2022-07-22 18:00:00+00:00,1.4383131017287574e-05
2022-07-22 18:30:00+00:00,5.875277146697044e-06
2022-07-22 19:00:00+00:00,1.4506611457237832e-05
2022-07-22 19:30:00+00:00,42843.511889014386
